player_name,player_real_name,birth,country,status,team_name,earnings,role,signature_hero
[e][h] Joobi  ,Enrique Triana,"April 4, 2003 (2003-04-04) (age 18)",United States,Active,NA,"$9,113",Support,"Lúcio
Mercy
Baptiste
Brigitte"
[e][h] Kaan  ,Emir Kaan Okumus,NA,Germany,Active,Paris Eternal,"$15,418",Support,"Baptiste
Ana
Zenyatta"
[e][h] Kai  ,Kai Collins,"June 17, 2000 (2000-06-17) (age 21)",United Kingdom,Active,Atlanta Reign,"$169,606",DPS,"Ashe
Widowmaker
McCree
Hanzo"
[e][h] Kalios  ,Shin Woo-yeol,"November 9, 1998 (1998-11-09) (age 22)",South Korea,Active,New York Excelsior,"$58,767",Tank,"Zarya
D.Va
Sigma"
[e][h] KariV  ,Park Young-seo,"January 8, 1998 (1998-01-08) (age 23)",South Korea,Active,Guangzhou Charge,"$86,776",Support,"Zenyatta
Ana
Moira
Widowmaker
Soldier: 76"
[e][h] Kellex  ,Kristian Keller,"February 9, 1999 (1999-02-09) (age 22)",Denmark,Active,London Spitfire,"$68,151",Support,"Lúcio
Mercy"
[e][h] kevster  ,Kevin Persson,"May 21, 2001 (2001-05-21) (age 20)",Sweden,Active,Los Angeles Gladiators,"$75,247",DPS,"Tracer
Genji
Ashe
Pharah
Widowmaker"
[e][h] Krystal  ,Cai Shilong,"August 22, 2000 (2000-08-22) (age 21)",China,Active,Los Angeles Valiant,"$102,038",DPS,"Genji
McCree
Pharah
Widowmaker
Mei"
[e][h] Lastro  ,Mun Jung-won,"April 2, 2001 (2001-04-02) (age 20)",South Korea,Active,NA,"$26,685",Support,"Zenyatta
Ana
Moira
Baptiste"
[e][h] LateYoung  ,Ma Tianbin,"July 5, 1999 (1999-07-05) (age 22)",China,Active,"Chengdu Hunters
Team Chaser","$97,459",Tank,"Zarya
D.Va"
[e][h] leave  ,Huang Xin,"October 23, 2001 (2001-10-23) (age 19)",China,Active,Chengdu Hunters,"$186,975",DPS,"Tracer
Doomfist
Ashe
Genji
Echo"
[e][h] LeeJaeGon  ,Lee Jae-gon,"August 29, 2001 (2001-08-29) (age 20)",South Korea,Active,Shanghai Dragons,"$446,130",Support,"Lúcio
Mercy
Brigitte"
[e][h] LiGe  ,Jia Chengjie,"September 6, 2001 (2001-09-06) (age 20)",China,Active,"Hangzhou Spark
Bilibili Gaming","$35,333",Tank,"Sigma
D.Va
Zarya"
[e][h] LiNkzr  ,Jiri Masalin,"April 9, 1994 (1994-04-09) (age 27)",Finland,Active,Vancouver Titans,"$43,065",DPS,"Widowmaker
Genji
McCree
Hanzo
Soldier: 76"
[e][h] LIP  ,Lee Jae-won,"November 5, 2001 (2001-11-05) (age 19)",South Korea,Active,Shanghai Dragons,"$500,249",DPS,"Sombra
McCree
Hanzo
Ashe
Tracer"
[e][h] Logix  ,Andreas Berghmans,"June 11, 1997 (1997-06-11) (age 24)",Belgium,Active,NA,"$20,555",DPS,"Tracer
Widowmaker
McCree
Ashe
Reaper"
[e][h] M1ka  ,Liu Jiming,"June 20, 2000 (2000-06-20) (age 21)",China,Active,Hangzhou Spark,"$29,290",Support,"Mercy
Brigitte
Lúcio"
[e][h] Mag  ,Kim Tae-sung,"June 12, 2002 (2002-06-12) (age 19)",South Korea,Active,Washington Justice,"$51,960",Tank,"Reinhardt
Winston
Wrecking Ball
Orisa
Roadhog"
[e][h] Mandu  ,Kim Chan-hee,"June 3, 2002 (2002-06-03) (age 19)",South Korea,Active,Guangzhou Charge,"$66,201",Support,"Lúcio
Mercy
Baptiste"
[e][h] Mano  ,Kim Dong-gyu,"April 12, 1996 (1996-04-12) (age 25)",South Korea,Inactive,NA,"$267,273",Tank,"Winston
Reinhardt
Orisa
Wrecking Ball"
[e][h] Marve1  ,Hwang Min-seo,"October 26, 2000 (2000-10-26) (age 20)",South Korea,Active,Seoul Dynasty,"$190,819",Tank,"Sigma
Reinhardt
Wrecking Ball
Winston
Orisa"
[e][h] Masaa  ,Petja Kantanen,"July 18, 1995 (1995-07-18) (age 26)",Finland,Active,Atlanta Reign,"$210,126",Support,"Lúcio
Mercy
Brigitte"
[e][h] Michelle  ,Choi Min-hyuk,"December 21, 1999 (1999-12-21) (age 21)",South Korea,Active,NA,"$209,947",Tank,"D.Va
Zarya
Roadhog
Sombra"
[e][h] MirroR  ,"Gia Huy ""Chris"" Trịnh","October 14, 2001 (2001-10-14) (age 19)","Vietnam
Latvia",Active,NA,"$67,814",DPS,"Doomfist
Zarya
Torbjörn
Genji
Echo"
[e][h] Mmonk  ,Zhou Xiang,"August 9, 2001 (2001-08-09) (age 20)",China,Active,Chengdu Hunters,"$64,432",Support,"Ana
Zenyatta
Baptiste"
[e][h] MoLanran  ,Liao Yang,"August 24, 2000 (2000-08-24) (age 21)",China,Active,Los Angeles Valiant,"$41,341","DPS
Tank","Tracer
Pharah
Sombra
Doomfist
Junkrat"
[e][h] Molf1g  ,Mikkel Djernes,"September 2, 1997 (1997-09-02) (age 24)",Denmark,Active,London Spitfire,"$40,364",Tank,"D.Va
Sombra
Sigma
Wrecking Ball
Zarya"
[e][h] Molly  ,He Chengzhi,"November 10, 2001 (2001-11-10) (age 19)",China,Active,Shanghai Dragons,"$333,728",Support,"Zenyatta
Baptiste
Ana
Moira"
[e][h] moth  ,Grant Espe,"September 14, 1996 (1996-09-14) (age 25)",United States,Active,Los Angeles Gladiators,"$580,836",Support,"Lúcio
Mercy
Ana
Baptiste
Brigitte"
[e][h] MuZe  ,Kim Young-hun,"September 16, 2002 (2002-09-16) (age 19)",South Korea,Active,NA,"$75,497",Tank,"Winston
Wrecking Ball
Reinhardt
Orisa"
[e][h] MYKaylee  ,Zou Zijie,"March 4, 2001 (2001-03-04) (age 20)",China,Active,"Guangzhou Charge
UP Academy","$7,650",DPS,"Ashe
Sombra
Pharah
Widowmaker
Echo"
[e][h] Myunb0ng  ,Seo Sang-min,"June 12, 1999 (1999-06-12) (age 22)",South Korea,Active,Boston Uprising,"$35,791",Support,"Zenyatta
Ana
Moira"
[e][h] Na1st  ,Lee Ho-sung,"January 20, 2003 (2003-01-20) (age 18)",South Korea,Active,NA,"$37,568",DPS,"Genji
Tracer
Mei
Echo
Pharah"
[e][h] Naga  ,Nikolai Dereli,"January 28, 2001 (2001-01-28) (age 20)",Denmark,Active,Paris Eternal,"$25,145",DPS,"Genji
Pharah
Hanzo
Mei
Echo"
[e][h] nero  ,Charlie Zwarg,"May 31, 2001 (2001-05-31) (age 20)",United States,Active,San Francisco Shock,"$73,829",DPS,"Pharah
Mei
Echo
Torbjörn
Tracer"
[e][h] Nisha  ,Tan Li,"April 6, 2002 (2002-04-06) (age 19)",China,Active,Chengdu Hunters,"$87,014",Support,"Mercy
Lúcio
Brigitte"
[e][h] NvM  ,Wen Yelin,"December 24, 1997 (1997-12-24) (age 23)",China,Active,Los Angeles Valiant,"$7,951",Tank,"Winston
Reinhardt
Orisa"
[e][h] OGE  ,Son Min-seok,"October 15, 1999 (1999-10-15) (age 21)",South Korea,Active,NA,"$33,716",Tank,"Winston
Reinhardt
Wrecking Ball
Orisa"
[e][h] Onigod  ,Stefan Fiskerstrand,"July 29, 1997 (1997-07-29) (age 24)",Norway,Active,NA,"$46,024",DPS,"Tracer
McCree
Widowmaker
Soldier: 76
Ashe"
[e][h] Pelican  ,Oh Se-hyun,"July 5, 2002 (2002-07-05) (age 19)",South Korea,Active,Atlanta Reign,"$160,811",DPS,"Echo
Sombra
Mei
Genji
Tracer"
[e][h] PIGGY  ,Shin Min-jun,"November 19, 1999 (1999-11-19) (age 21)",South Korea,Active,Houston Outlaws,"$28,619",Tank,"Zarya
D.Va
Sigma"
[e][h] Pine  ,Kim Do-hyeon,"August 15, 1997 (1997-08-15) (age 24)",South Korea,Active,NA,"$279,149",DPS,"McCree
Widowmaker
Ashe
Junkrat
Tracer"
[e][h] Poko  ,Gael Gouzerch,"July 21, 1996 (1996-07-21) (age 25)",France,Active,Philadelphia Fusion,"$198,365",Tank,"D.Va
Sigma
Zarya
Roadhog"
[e][h] Profit  ,Park Joon-yeong,"November 19, 1999 (1999-11-19) (age 21)",South Korea,Active,Seoul Dynasty,"$424,856",DPS,"Tracer
Genji
Hanzo
Pharah
Ashe"
[e][h] Punk  ,Leyton Gilchrist,"October 22, 2001 (2001-10-22) (age 19)","Australia
United States",Active,Boston Uprising,"$17,268",Tank,"Sigma
D.Va
Zarya
Roadhog"
[e][h] Rapel  ,Kim Jun-keun,"March 30, 1998 (1998-03-30) (age 23)",South Korea,Retired,NA,"$258,708",Support,"Zenyatta
Ana
Moira
Baptiste"
[e][h] Rascal  ,Kim Dong-jun,"July 23, 1998 (1998-07-23) (age 23)",South Korea,Active,Philadelphia Fusion,"$567,124","DPS
Support","Genji
Pharah
Tracer
Echo
Mei"
[e][h] Rio  ,Oh Seung-pyo,"April 19, 2000 (2000-04-19) (age 21)",South Korea,Active,Guangzhou Charge,"$31,280",Tank,"Wrecking Ball
Winston
Orisa
Reinhardt"
[e][h] Ripa  ,Riku Toivanen,"November 29, 2000 (2000-11-29) (age 20)",Finland,Active,London Spitfire,"$92,125",Support,"Moira
Zenyatta
Ana
Baptiste"
[e][h] Roolf  ,Randal Stark,"April 4, 1995 (1995-04-04) (age 26)",Canada,Active,Vancouver Titans,"$33,909",Support,"Zenyatta
Ana"
[e][h] SADO  ,Kim Su-min,"January 15, 1999 (1999-01-15) (age 22)",South Korea,Active,NA,"$163,333",Tank,"Winston
Reinhardt
Orisa
Wrecking Ball"
[e][h] Saebyeolbe  ,Park Jong-ryeol,"December 23, 1995 (1995-12-23) (age 25)",South Korea,Active,Seoul Dynasty,"$270,295",DPS,"Tracer
McCree
Reaper
Sombra
Widowmaker"
[e][h] SeoMinSoo  ,Seo Min-soo,"July 6, 2000 (2000-07-06) (age 21)",South Korea,Active,Hangzhou Spark,"$171,097","DPS
Tank","Reaper
Zarya
Doomfist
Pharah
Sombra"
[e][h] Shax  ,Johannes Nielsen,"April 9, 1999 (1999-04-09) (age 22)",Denmark,Active,"London Spitfire
British Hurricane","$42,225",DPS,"Tracer
Widowmaker
McCree
Hanzo
Reaper"
[e][h] sHockWave  ,Niclas Jensen,"July 25, 2000 (2000-07-25) (age 21)",Denmark,Active,Philadelphia Fusion,"$12,279",DPS,"Widowmaker
McCree
Ashe
Hanzo
Echo"
[e][h] ShowCheng  ,Cheng Yu,"April 28, 2001 (2001-04-28) (age 20)",China,Active,Los Angeles Valiant,"$28,603","DPS
Tank","D.Va
Doomfist
Sigma
Echo
Zarya"
[e][h] Shu  ,Kim Jin-seo,"July 12, 2000 (2000-07-12) (age 21)",South Korea,Active,Los Angeles Gladiators,"$73,847",Support,"Zenyatta
Ana
Widowmaker
Moira
Baptiste"
[e][h] Shy  ,Zheng Yangjie,"October 22, 2002 (2002-10-22) (age 18)",China,Active,Hangzhou Spark,"$33,452","DPS
Support","Widowmaker
McCree
Tracer
Hanzo
Ashe"
[e][h] Silver3  ,Han Haibo,"March 19, 2000 (2000-03-19) (age 21)",China,Active,Los Angeles Valiant,"$37,401",Tank,"Wrecking Ball
Reinhardt
Winston
Orisa"
[e][h] skewed  ,Kim Min-seok,"January 11, 2001 (2001-01-11) (age 20)",South Korea,Active,Los Angeles Gladiators,"$44,663",Support,"Zenyatta
Brigitte
Baptiste
Ana"
[e][h] SLIME  ,Kim Sung-jun,"January 12, 2000 (2000-01-12) (age 21)",South Korea,Active,NA,"$309,450",Support,"Lúcio
Baptiste
Mercy
Brigitte"
[e][h] smurf  ,Yoo Myeong-hwan,"March 12, 2000 (2000-03-12) (age 21)",South Korea,Active,San Francisco Shock,"$586,063",Tank,"Winston
Orisa
Wrecking Ball
Reinhardt
Roadhog"
[e][h] SP9RK1E  ,Kim Yeong-han,"May 31, 2002 (2002-05-31) (age 19)",South Korea,Active,Dallas Fuel,"$165,793",DPS,"Doomfist
Genji
Pharah
Echo
Tracer"
[e][h] SPACE  ,Indy Halpern,"March 28, 2000 (2000-03-28) (age 21)",United States,Active,Los Angeles Gladiators,"$141,697",Tank,"D.Va
Roadhog
Zarya
Sigma"
[e][h] SparkR  ,William Andersson,"June 10, 2003 (2003-06-10) (age 18)",Sweden,Active,"London Spitfire
British Hurricane","$44,709",DPS,"Widowmaker
Ashe
Tracer
McCree
Hanzo"
[e][h] Stand1  ,Seo Ji-won,"September 14, 1999 (1999-09-14) (age 22)",South Korea,Active,Boston Uprising,"$120,561",Tank,"Reinhardt
Wrecking Ball
Winston
Orisa
Roadhog"
[e][h] super  ,Matthew DeLisi,"March 28, 2000 (2000-03-28) (age 21)",United States,Active,San Francisco Shock,"$590,252",Tank,"Reinhardt
Winston
Roadhog
Orisa"
[e][h] ta1yo  ,Sean Taiyo Henderson,"April 12, 2000 (2000-04-12) (age 21)","Japan
United States",Active,San Francisco Shock,"$324,678",DPS,"Tracer
Genji
Ashe
Reaper
Widowmaker"
[e][h] TAROCOOK1E  ,Zhong Yunlong,NA,China,Active,Chengdu Hunters,"$55,630",DPS,"Widowmaker
Tracer
Ashe
McCree"
[e][h] Teru  ,Kim Min-ki,"December 15, 2002 (2002-12-15) (age 18)",South Korea,Active,Vancouver Titans,"$11,393",DPS,"Genji
Pharah
Echo
Doomfist
Mei"
[e][h] tobi  ,Yang Jin-mo,"February 26, 1994 (1994-02-26) (age 27)",South Korea,Active,Philadelphia Fusion,"$253,629",Support,"Lúcio
Mercy
Baptiste
Brigitte"
[e][h] Toyou  ,Lim Hyeon-woo,"June 27, 2001 (2001-06-27) (age 20)",South Korea,Active,Seoul Dynasty,"$135,865",Tank,"D.Va
Sigma
Zarya"
[e][h] Tsuna  ,Samir Ikram,"August 31, 2001 (2001-08-31) (age 20)",France,Active,NA,"$17,696",DPS,"Tracer
Zarya
Widowmaker"
[e][h] TTuba  ,Lee Ho-sung,"September 21, 1999 (1999-09-21) (age 22)",South Korea,Active,NA,"$64,925",DPS,"Pharah
Genji
Tracer
Doomfist
Sombra"
[e][h] Twilight  ,Lee Joo-seok,"February 8, 1998 (1998-02-08) (age 23)",South Korea,Active,San Francisco Shock,"$487,837",Support,"Ana
Zenyatta
Baptiste
Moira
Brigitte"
[e][h] Valentine  ,Kim Byeong-ju,"February 14, 2003 (2003-02-14) (age 18)",South Korea,Active,Boston Uprising,"$23,203",DPS,"Doomfist
Pharah
Genji
Echo
Mei"
[e][h] Vestola  ,Ilari Vestola,NA,Finland,Active,NA,"$12,381",Tank,"D.Va
Sigma"
[e][h] Viol2t  ,Park Min-ki,"April 17, 2000 (2000-04-17) (age 21)",South Korea,Active,San Francisco Shock,"$585,697",Support,"Zenyatta
Baptiste
Moira
Ana"
[e][h] Void  ,Kang Jun-woo,"October 2, 1996 (1996-10-02) (age 25)",South Korea,Active,Shanghai Dragons,"$511,008",Tank,"Sigma
D.Va
Zarya
Roadhog"
[e][h] WhoRU  ,Lee Seung-jun,"August 23, 2001 (2001-08-23) (age 20)",South Korea,Active,Shanghai Dragons,"$394,024",DPS,"Genji
Tracer
Doomfist
Pharah
Torbjörn"
[e][h] Wya  ,Qi Haomiao,"December 21, 2000 (2000-12-21) (age 20)",China,Active,Los Angeles Valiant,"$57,943",Support,"Ana
Zenyatta
D.Va
Zarya"
[e][h] Yaki  ,Kim Jun-ki,"June 11, 2001 (2001-06-11) (age 20)",South Korea,Active,Florida Mayhem,"$53,084",DPS,"Genji
Pharah
Tracer
Echo
Doomfist"
[e][h] Yakpung  ,Jo Gyeong-mu,"January 29, 2001 (2001-01-29) (age 20)",South Korea,Active,New York Excelsior,"$23,834",Tank,"Reinhardt
Winston
Wrecking Ball
Orisa"
[e][h] Yveltal  ,Li Xianyao,"September 29, 2000 (2000-09-29) (age 21)",China,Active,"Chengdu Hunters
Team Chaser","$68,185",Support,"Mercy
Lúcio
Zenyatta
Baptiste
Brigitte"
